ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
,,,164.041666666666657,137,1200.689098496700353,113063.820322590894648,,,,0,,,,,137
,,,164.041666666666657,138,1111.867511336359030,98102.402746787760407,,,,0,,,,,138
,,,164.041666666666657,142,1281.406295314807494,126429.282906192675000,,,,0,,,,,142
,,,164.041666666666657,144,1178.927080334234688,109545.978196139316424,,,,0,,,,,144
,,,164.041666666666657,145,1179.443856121389899,109356.823626851386507,,,,0,,,,,145
,,,164.041666666666657,176,1150.332489416047110,104433.572584707755595,,,,0,,,,,176
Amherst Rd & Baltimore Ave,Bar,Yes,164.041666666666657,206,1116.592291352520533,98900.419987252374995,,,,0,,,,,206
,,,164.041666666666657,207,1097.365027367387938,95716.802363232709467,,,,0,,,,,207
,,,164.041666666666657,208,1099.418088103952641,96060.889345180301461,,,,0,,,,,208
,,,164.041666666666657,210,1110.198913980289035,97807.222555059837759,,,,0,,,,,210
,,,164.041666666666657,211,1110.803766243514474,97905.824026368150953,,,,0,,,,,211
,,,164.041666666666657,212,1114.268388201968719,98642.065919369269977,,,,0,,,,,212
,,,164.041666666666657,213,1135.939586237629783,102241.063289961079136,,,,0,,,,,213
,,,164.041666666666657,215,1120.322617932684125,99539.800769858717103,,,,0,,,,,215
,,,164.041666666666657,216,1111.384828278683244,98051.723979975198745,,,,0,,,,,216
,,,164.041666666666657,218,1124.620240523487837,100296.136134937856696,,,,0,,,,,218
,,,164.041666666666657,220,1150.563471433383938,104662.857785440573934,,,,0,,,,,220
,,,164.041666666666657,226,1093.428740454902936,94997.041163881440298,,,,0,,,,,226
,,,164.041666666666657,227,1078.502033062940654,92457.217791667251731,,,,0,,,,,227
,,,164.041666666666657,231,1091.807836584767983,94745.572686933373916,,,,0,,,,,231
,,,164.041666666666657,235,1093.257041584919989,94990.209932011362980,,,,0,,,,,235
,,,164.041666666666657,238,1112.674028714127871,98323.387098960578442,,,,0,,,,,238
,,,164.041666666666657,239,1114.836098521910117,98602.555401446763426,,,,0,,,,,239
,,,164.041666666666657,240,1111.093453720812704,97984.750619286991423,,,,0,,,,,240
,,,164.041666666666657,244,1104.879710564613788,96960.471414474202902,,,,0,,,,,244
,,,164.041666666666657,246,1099.255460099573838,95981.320685874772607,,,,0,,,,,246
,,,164.041666666666657,250,1106.768190048518591,97294.883031413832214,,,,0,,,,,250
,,,164.041666666666657,267,1103.288622554723133,96690.457081079526688,,,,0,,,,,267
,,,164.041666666666657,268,1124.078295024402905,100122.230169456292060,,,,0,,,,,268
,,,164.041666666666657,269,1150.342581031831969,104681.753379460074939,,,,0,,,,,269
,,,164.041666666666657,271,1130.770772886414989,101278.264532673783833,,,,0,,,,,271
Pierce Ave & 51st Ave,Piano Key,No,164.041666666666657,280,1121.598611028552796,99755.083827116584871,,,,0,,,,,280
Pierce Ave & 54th Ave,Piano Key,No,164.041666666666657,282,1095.344874271791241,95318.616960835177451,,,,0,,,,,282
Lakeland Rd & 54th Ave,Piano Key,No,164.041666666666657,283,1129.612596697656272,101070.990835330216214,,,,0,,,,,283
,,,164.041666666666657,284,1089.251826548480949,94260.267940128236660,,,,0,,,,,284
51st Ave & Lakeland Rd,Piano Key,No,164.041666666666657,288,1119.854104689215319,99446.554838521318743,,,,0,,,,,288
,,,164.041666666666657,289,1101.739303171994607,96383.161469216021942,,,,0,,,,,289
Rhode Island Ave & Berwyn House Rd,,,164.041666666666657,290,1106.953489687631873,97362.677568899322068,,,,0,,,,,290
Patuxent Ave & Rhode Island Ave,Piano Key,No,164.041666666666657,291,1175.872656524050399,109036.013666237951838,,,,0,,,,,291
Quebec St & Rhode Island Ave,Piano Key,No,164.041666666666657,298,1094.102841491110439,95130.133084040586255,,,,0,,,,,298
51st Ave & Berwyn Rd,Piano Key,No,164.041666666666657,299,1089.073989040288552,94233.449453834764427,,,,0,,,,,299
Berwyn Rd & Potomac Ave,Piano Key,No,164.041666666666657,300,1102.147894795273942,96465.114241526141996,,,,0,,,,,300
,,,164.041666666666657,301,1204.760940568538672,113573.683068364043720,,,,0,,,,,301
Seminole St & Rhode Island Ave,Piano Key,No,164.041666666666657,303,1128.227515494937506,100869.624034112261143,,,,0,,,,,303
,,,164.041666666666657,310,1098.760941777617518,95856.048947658491670,,,,0,,,,,310
,,,164.041666666666657,312,1111.385767218524961,98077.546543626172934,,,,0,,,,,312
,,,164.041666666666657,318,1068.781289430550487,90829.629587972114678,,,,0,,,,,318
,,,164.041666666666657,320,1245.819905055125901,120462.821520243538544,,,,0,,,,,320
