,ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
184,Baltimore Ave & College Ave,Zebra Stripe,Yes,164.04166666666663,185,1110.3178345062709,97885.52109877372,9.0,2.82842712474619,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,185
180,College Ave & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,181,1124.5140757799415,100269.3875630272,9.0,2.82842712474619,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,181
177,Baltimore Ave & Rossborough Ln,Zebra Stripe,Yes,164.04166666666663,178,1175.0009790994804,108770.23816050185,13.0,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,178
192,Knox Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,193,1129.8389646411015,101274.557645347,19.0,5.656854249492381,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,193
0,Rhode Island Ave & Edgewood Rd,Bar,Yes,164.04166666666663,1,1189.5744371200103,111197.64364625508,16.0,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,1
49,,,,164.04166666666663,50,1108.5202192278034,97576.3166716119,10.0,11.31370849898476,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,50
9,Edgewood Rd & Rhode Island Ave,Bar,Yes,164.04166666666663,10,1165.6066257000289,107177.14506862672,16.0,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,10
77,,,,164.04166666666663,78,1177.3737711101683,109171.83572781461,20.5,3.535533905932738,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,78
34,Rhode Island Ave & Hollywood Rd,Piano Key,RRFB,164.04166666666663,35,1119.162299690793,99292.48941074105,8.0,11.31370849898476,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,35
68,Baltimore Ave & Fox St,Bar,Yes,164.04166666666663,69,1150.082523124006,104565.965623636,16.0,0.0,48.0,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,69
87,,,,164.04166666666663,88,1182.172789338537,109794.89457343543,15.5,2.121320343559642,22.0,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,88
88,,,,164.04166666666663,89,1265.1398691512547,123865.41990519805,15.5,2.121320343559642,22.0,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,89
89,,,,164.04166666666663,90,1237.8857477317224,119202.14506453306,15.5,2.121320343559642,22.0,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,90
11,Edgewood Rd & Rhode Island Ave,Bar,Yes,164.04166666666663,12,1173.1593475933923,108446.1560536944,16.0,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,12
10,Rhode Island Ave & Edgewood Rd,Bar,Yes,164.04166666666663,11,1209.6663759016747,114568.03612112936,16.0,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,11
57,University Blvd & Baltimore Ave,Bar,No,164.04166666666663,58,1081.3841598999918,92968.04850968505,14.5,9.192388155425116,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,58
72,Baltimore Ave & Hollywood Rd,Bar,Yes,164.04166666666663,73,1146.0483342065484,103879.27991324988,13.5,2.121320343559642,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,73
76,,,,164.04166666666663,77,1173.4854841392348,108567.72871204057,20.5,3.535533905932738,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,77
42,Greenbelt Rd & Rhode Island Ave,Zebra Stripe,No,164.04166666666663,43,1205.8331168030827,114051.17211395912,11.0,8.48528137423857,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,43
40,Rhode Island Ave & Greenbelt Rd,Bar,No,164.04166666666663,41,1113.9603853826627,98509.14872217107,11.0,8.48528137423857,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,41
115,,,,164.04166666666663,116,1096.9112629949902,95560.57030458626,18.0,0.0,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,116
37,Rhode Island Ave & Apache St,Zebra Stripe,No,164.04166666666663,38,1073.1467098831083,91582.10356260947,17.0,2.82842712474619,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,38
38,Rhode Island Ave & Apache St,Zebra Stripe,No,164.04166666666663,39,1107.5925487544969,97344.31575548227,17.0,2.82842712474619,,2,Property Damage Crashes,Property Damage Crashes,100.0,100.0,39
39,Greenbelt Rd & Rhode Island Ave,Zebra Stripe,No,164.04166666666663,40,1185.2001437038289,110586.5212223878,11.0,8.48528137423857,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,40
41,Rhode Island Ave & Greenbelt Rd,Bar,No,164.04166666666663,42,1128.2157412457373,100917.04542820592,11.0,8.48528137423857,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.0,50.0,42
