Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Pedestrian,22a89272-32ff-4043-aa5a-308c019da88f,AC2093006D,102,Standing,47,COCKEYSVILLE,06,Rear,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,f7f8cd36-efa9-42eb-aa2d-15464a9576ff,06,N,21030
Pedestrian,c4f23b1b-1b47-4752-a1cc-54579f350dbd,AC2093006Z,101,Cross/Enter Not at Intersection,53,BALTIMORE,12,Front,03,"Other Action (looking away from task, etc.)",05,Passenger/Other Non-Motorist,M,02,EMS,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,fa3c1434-c21a-4dc1-a93c-7dcd63355b0e,06,N,21230
Pedestrian,3a4497f1-e438-42d6-bdc7-d64bfc13c430,AC2095001N,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),62,GLEN BURNIE,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,8d6a7d11-9dcf-4ecf-872e-a3f1f041234a,06,N,21061
Pedestrian,58ec9e94-2d46-4be9-a7ca-7a009b41e0e9,AC2114006M,98,Other,45,BROOKLYN,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,38a7cfe8-d69f-476f-9056-9472d156d67a,06,N,21225
Cyclist (non-electric),222eb444-8f93-423e-b808-8503e54a78ee,AC211700B7,100,Cross/Enter at Intersection,22,PASADENA,09,Left,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,03,Intersection – Other,99,Unknown,MD,cf36a8ef-af12-4185-a406-73c2ffff9eaa,101,N,21122
Cyclist (non-electric),9dcee5b6-505a-4885-b41d-dff9405f32d8,AC213500DJ,98,Other,13,BROOKLYN,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,16,Shared-Use Path or Trail,97,Not Applicable,MD,836ed72c-3a44-479c-a9b2-debeeb359bee,101,N,21225
Pedestrian,22ea7c4c-47bd-4ab0-9255-b38f7201c854,AC213500DK,98,Other,34,LANSDOWNE,03,Right,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,fd3436da-46d4-4b7f-b1d0-bcfed38c842c,06,N,21227
Unknown,79373101-824e-4bf5-9454-fc261a68bf41,AC21410094,00,None,0,PASADENA,99,Unknown,00,Not Distracted,,,U,01,No,05,No Apparent Injury,98,Other,97,Not Applicable,MD,9bb29f64-8bdc-445e-9ab1-568653a568a1,99,N,21122
Pedestrian,72726aef-5120-483c-ad6f-080649caf00b,AC215100D8,101,Cross/Enter Not at Intersection,28,ANNAPOLIS,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,1a1ffcea-7d8c-4024-a554-12e896ad7e69,06,N,21409
Pedestrian,73bc07a7-aa46-402c-bd23-fb53857b9f58,AC2158004N,100,Cross/Enter at Intersection,11,GAMBRILLS,12,Front,00,Not Distracted,,,M,98,Other,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,01,School,MD,80e3f1cf-0d4b-439f-a6b3-3d814dbca9b1,06,N,21054
