Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Cyclist (non-electric),4700ac99-6631-4f95-83f5-4671cabdd5b5,ZH07850017,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),47,WALDORF,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,170365e6-934e-43bd-b15a-268275e0e7d4,101,N,20602
Scooter (electric),185dd81e-e649-4e2c-bdb6-a39a69efae6c,ZL1410000L,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),19,BEL AIR,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,d8267fcd-af90-408a-9b0f-8fb53c0df16d,102,N,21015
Unknown,fbe782b8-effa-4e07-9f1e-f3e2dc456e37,BX3908004Q,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),20,HAGERSTOWN,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,afa11087-9873-49d6-b32b-bc9dfd7087f2,99,N,21740
Cyclist (Electric),98ee1376-8465-4458-ae22-e662e0f0a570,MSP69300195,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),22,EDGEWOOD,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,daa908a3-c1a8-43e1-a198-f2786ad6a6b8,100,N,21040
Cyclist (Electric),cdd543e3-a0ea-4a56-a003-a49fe86d7de6,MSP69300195,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),26,ABINGDON,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,daa908a3-c1a8-43e1-a198-f2786ad6a6b8,100,N,21009
Scooter (electric),0b44bd90-3e81-4228-bf18-d9cbc4eea476,MCP3395002X,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),12,BETHESDA,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,89450d49-0cfb-4690-8ea8-62f10ece38d0,102,N,20814
Scooter (electric),3898e4a0-0088-401c-9149-52ae0ff48301,AE440101GZ,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),37,DUNDALK,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,543f7675-9613-4176-bbaf-8f44e414c8e1,102,N,21222
Scooter (non-Electric),c4013ec5-3341-4905-bd30-4db09a19ff1b,MCP3221002Z,07,Walking/Cycling on Sidewalk,14,ROCKVILLE,12,Front,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,5bf666c5-5793-4bfd-a2d0-1ba71aff4160,10,N,20850
Cyclist (non-electric),e42e8b07-1a2d-4985-b0ee-1440553ac8c4,ADK9920003,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),59,BALTIMORE,12,Front,00,Not Distracted,,,M,04,Police,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,65987113-b097-48b2-a794-f97defdd47e9,101,N,21217
Unknown,0018cd6e-ad14-4583-a14a-a632cea221a9,ADK954000Q,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),60,BALTIMORE,12,Front,00,Not Distracted,,,M,04,Police,03,Suspected Minor Injury,98,Other,99,Unknown,MD,8f155725-108a-4934-858c-d82c9199730f,99,N,21229
Pedestrian,93eadf82-0718-465a-b2c2-96460ad2270e,BX5483005V,101,Cross/Enter Not at Intersection,44,HAGERSTOWN,12,Front,01,Talking/listening,99,Unknown,M,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,53033659-922f-4c8b-b3b5-17b4b20bdde7,06,N,21740
Cyclist (non-electric),18de9936-20d2-48d8-9cb6-624a5ee3a6e9,CC03060003,100,Cross/Enter at Intersection,13,HYATTSVILLE,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,daa81bd9-94f4-4e07-9c56-d05f5b584ae7,101,N,20782
Cyclist (non-electric),1941aaef-1e34-4b03-81af-66ddb100e819,ZUB149002Z,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),10,BOONSBORO,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,c2971dd4-40f4-40b1-ac30-47e335576f69,101,N,21713
Cyclist (non-electric),d96404b2-71a3-4777-8ca3-0e984011389c,MCP29400079,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),44,FALLS CHURCH,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,VA,d201466d-828c-4168-a625-88895d5247f7,101,N,22041
Cyclist (non-electric),e727e33a-16c4-4a34-be63-4c4045f461a1,AS0364003L,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),57,CAMBRIDGE,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,M,01,No,03,Suspected Minor Injury,10,On-Street Bike Lanes,99,Unknown,MD,e8697142-d243-406d-8bc5-d3f7305d1872,101,N,21613
Pedestrian,6e8fe0ef-f2b7-40bc-bb8a-f0feed6c1976,ADL028000T,07,Walking/Cycling on Sidewalk,26,BALTIMORE,12,Front,03,"Other Action (looking away from task, etc.)",99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,13de9a39-955a-463f-a4d9-dae12d1b3d5b,06,N,21206
Cyclist (non-electric),434e8ca3-e253-4d60-b345-11e1a5a85ebf,AS0364003G,100,Cross/Enter at Intersection,25,CAMBRIDGE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,99c80a4b-7495-46f2-82d4-e227a10acb15,101,N,21613
Cyclist (non-electric),3b08f127-dbed-4b82-aa95-4b8742e7d522,ADK540002C,100,Cross/Enter at Intersection,49,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,39c9680b-7c96-40a7-a15b-9f16f0ec36bd,101,N,21209
Cyclist (non-electric),524983d3-e08f-428c-8638-c81f30a73dc6,ADK643002N,100,Cross/Enter at Intersection,55,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,ac25bf96-be4e-4eaf-bbaf-aa55551550d9,101,N,21202
Pedestrian,c65567fd-90f6-47e7-8f1d-89cb33fd4cc6,ADK977001S,101,Cross/Enter Not at Intersection,57,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,034ca095-cce4-4a46-8a85-6a6d779d9218,06,N,21218
Cyclist (non-electric),1850edc2-2c1c-4c0c-ad57-1f864f3c08bd,RD0103008B,101,Cross/Enter Not at Intersection,21,RIVERDALE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,25ca6b08-e54e-4f39-86be-b2e2b15d071e,101,N,20737
Pedestrian,6d0d00df-a7f1-4ffe-ac89-6ec147d0cab1,AE66360021,00,None,7,DUNDALK,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,3f9517ae-751d-4fc1-b51a-7409ccffdf88,06,N,21222
Pedestrian,73a54b0f-7d1f-4d55-a0cf-1f1d36fdc9dd,MCP2107005M,98,Other,24,DAMASCUS,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,c0cf1670-998b-4057-a753-c090d6b0ce95,06,N,20872
Pedestrian,1272face-8ff7-4006-b83a-22a58a0a955f,HA2377000Q,98,Other,10,GAITHERSBURG,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,be2d92fd-a2b3-43f8-a757-37e9a0b0c634,06,N,20878
Cyclist (non-electric),0d6c4fef-cf9a-42c8-8a40-e388364363f7,AE6560003D,98,Other,16,NOTTINGHAM,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,3fa5cd25-d26a-40b7-bc56-25fab1567840,101,N,21236
Scooter (electric),827bf698-8529-48e0-b1bb-8d3f1242e6a8,MCP32620043,98,Other,18,HYATTSVILLE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,bfbd3976-6f68-40a0-99d0-9750c672df2c,102,N,20783
Pedestrian,9daf3de1-b4c7-4bfb-9717-3289d75e7ddd,MCP31610068,102,Standing,37,KENSINGTON,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,dc2cb655-8522-4f15-a8ca-4f9091eb9c82,06,N,20895
Pedestrian,148ec298-b959-4443-8908-b6461b25415f,ZH0748001Z,102,Standing,59,WALDORF,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,7c52906c-80fb-4c0d-9567-965379a9cd7f,06,N,20601
Wheelchair (non-electric),a8ea0647-1681-46fb-9d79-627476b04907,AE59270065,102,Standing,77,ESSEX,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,78dc5a24-22c5-441d-8955-df932367ea52,12,N,21221
Pedestrian,a346f900-c817-4a75-a8dc-ef0222d7f25f,ADK819002S,99,Unknown,15,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,cd101aaf-8540-4951-82ca-1738e0aa46ba,06,N,21229
Occupant Of a Non-Motor Vehicle Transportation Device,8718e4d6-eb13-4a2a-8aba-e1e00a189054,BK03040028,99,Unknown,50,ELKTON,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,c9f7e910-f6af-47b5-a867-f0ad029fb5ac,08,N,21921
Scooter (electric),ccfd866a-05f3-487f-948e-618f92565db1,AS0366001V,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),30,CAMBRIDGE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,aba44335-0969-4395-b3f3-f91d6ef04291,102,N,21613
Pedestrian,2c5caba5-a029-49b7-9010-75d10e64edcd,ES0081001T,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),29,TANEYTOWN,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,4ab4a797-89a6-4a5d-be86-68b905aadf89,06,N,21787
Cyclist (non-electric),4e3ad56e-abd3-4fdb-91c8-43bf2925506c,ADK955000C,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),60,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,ddad7e2d-ff30-4554-a415-43b60a02aa36,101,N,21223
Cyclist (non-electric),f525b48e-0eb0-4878-bdb3-1b25ab46c6b8,DM8502001G,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),19,TAKOMA PARK,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,09,Shared Lane Markings,99,Unknown,MD,1106b450-bb15-4756-9168-a23f36f59c76,101,N,20912
Pedestrian,5178c62d-0c1d-4db6-b59e-bce73b71d91b,ADK780002V,07,Walking/Cycling on Sidewalk,58,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,f6475904-3bab-4589-aa07-12088e0245d0,06,N,21224
Pedestrian,e1af6287-ce1b-40c6-9f24-64b5fb3a38df,ADK819002Q,07,Walking/Cycling on Sidewalk,63,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,81cd0010-dd13-4d36-8a0c-3abf15425967,06,N,21230
Scooter (electric),ca875b92-8d34-4d80-b02f-a2e0259c9e42,MCP32380035,07,Walking/Cycling on Sidewalk,25,UPPER MARLBORO,12,Front,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,17,Sidewalk,99,Unknown,MD,ae361a8a-6160-4ee1-ab57-3ffa0be0c23e,102,N,20774
Pedestrian,2399af3c-8491-43ed-9f4a-820bb501d2af,ADK753001K,101,Cross/Enter Not at Intersection,23,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,02,EMS,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,ae978fb5-0398-460c-9763-3493f1f2255b,06,N,21218
Cyclist (non-electric),c2de9b3d-d1a8-43a2-bdbb-af3c72db2564,ADK8350010,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),59,BALTIMORE,12,Front,99,Unknown,99,Unknown,M,04,Police,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,7b974c94-e536-423d-945c-93051c927c88,101,N,21217
Pedestrian,8a53328a-504e-44af-907f-14b641c0a831,AM0367002G,100,Cross/Enter at Intersection,6,HYATTSVILLE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,55d41efa-d88d-434f-9e6c-b8e55297beb1,06,N,20784
Pedestrian,cda85d6e-f9c9-4848-a398-b332efd28dfb,MCP29480074,100,Cross/Enter at Intersection,32,SILVER SPRING,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3637076e-0ac7-4e00-9759-ee4e8ace7eed,06,N,20902
Pedestrian,84682dd5-3587-4e5a-ba52-acf650874eef,MCP271700YR,100,Cross/Enter at Intersection,51,GAITHERSBURG,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,5b5b893f-430c-41de-9a1c-1596ddf72a21,06,N,20877
Pedestrian,8fd36d01-d96d-41f3-91cd-8c93f2a0c89a,ADK603002X,100,Cross/Enter at Intersection,39,ELKRIDGE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,99,Unknown,MD,d26fd76a-54eb-4ac6-90cf-19534d0a2183,06,N,21075
Cyclist (non-electric),2b961361-cc26-46c2-aa2a-4fdbebf99876,MCP3402000Y,100,Cross/Enter at Intersection,42,SILVER SPRING,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,df6b4106-6615-4c4a-aa5c-e9f30f2c4812,101,N,20901
Cyclist (non-electric),e0fb3103-44c3-48c8-a5f2-b1cc393f98de,MSP606000KX,100,Cross/Enter at Intersection,40,FREDERICK,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,f78b61d8-c17c-48f3-a50a-f30f0f04b5ec,101,N,21703
Pedestrian,f8524ca4-1a01-4f06-be78-2b9060374cee,DD56070055,00,None,87,ROCKVILLE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,14,Driveway Access,99,Unknown,MD,1ca3256d-e06e-4c62-aec8-89e48dee24c9,06,N,20852
Pedestrian,c64c5a19-e458-4a58-8b0e-6a365b03cbf5,AM0367002G,98,Other,0,HYATTSVILLE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,55d41efa-d88d-434f-9e6c-b8e55297beb1,06,N,20784
Pedestrian,9bfa2478-c382-449e-b760-ec25d8cfb4c1,EJ7902000R,98,Other,46,NO FIXED,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,15,Non-Trafficway Area,99,Unknown,XX,7b157e02-8ca0-4fbb-a6df-1c3c9d35cab2,06,N,NONE
Unknown,09e837ce-b042-420f-abb9-99ac2e7542fd,MCP28440083,98,Other,76,SILVER SPRING,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,88316e22-fca5-4fa0-9987-1a871ecd5fca,99,N,20902
Unknown,379802a0-5f8a-4e3c-91e0-731a8aef4020,ADK7050016,98,Other,14,BALTIMORE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,98,Other,99,Unknown,MD,fa4bcdef-e521-4666-b307-4720b2acfd8f,99,N,21223
Pedestrian,4686ff24-06cd-4e83-9818-46f6babcf4bc,MCP3404001B,102,Standing,64,SILVER SPRING,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,597eac35-36c9-4dec-aab5-4dfefce55f7c,06,N,20901
Scooter (electric),985bdbe2-127f-4734-afe4-0a41128a5457,AE66580050,99,Unknown,11,GLEN BURNIE,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,3d6228c4-f4b9-4890-856f-1ecf2ebd3689,102,N,21061
"Other Pedestrian (person in a building, skater, personal conveyance, etc.)",5cea3c2e-4839-402b-bf80-67df4729b256,DS0499000B,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),19,ELLICOTT CITY,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,b6f7c4c7-1480-4576-88b5-fdf6d0fd0d88,07,N,21042
Unknown Type Of Non-Motorist,143cdec2-a98c-4054-a97a-7e2aeb3aae37,DA4320001R,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),22,TEMPLE HILLS,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,6a42713b-29a9-49cd-a0c0-5878d59285c7,09,N,20748
Cyclist (non-electric),93723142-6a4d-4f06-adf5-34b6c5bbaa40,AE6437004T,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),26,OWINGS MILLS,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,e6e2ff3e-0c22-460b-8ba8-68408ff1f08b,101,N,21117
Cyclist (non-electric),01180c21-17c7-4727-ab23-16763d538bb4,DA43480010,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),62,UNKNOWN,99,Unknown,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,28d40789-5e71-44f5-94f5-2d25ed2982eb,101,N,00000
Pedestrian,603e30c5-9883-445d-b488-979657f984a1,CE450600NF,100,Cross/Enter at Intersection,72,LAUREL,99,Unknown,00,Not Distracted,,,M,02,EMS,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,1697183c-390d-4c68-840f-2751ce775417,06,N,20707
Scooter (electric),6ba85f2a-60c1-450f-a7bc-1f77a3dcbf15,ADK850001V,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),20,BALTIMORE,99,Unknown,00,Not Distracted,,,M,04,Police,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,35ae2be4-7708-4f40-9c19-acb7db6a76ad,102,N,21215
Scooter (electric),7e91cdb1-24b4-4255-a412-507f79f948eb,ADK850001V,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),23,BALTIMORE,99,Unknown,00,Not Distracted,,,M,04,Police,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,35ae2be4-7708-4f40-9c19-acb7db6a76ad,102,N,21215
Cyclist (non-electric),c2e94b75-34a0-4abd-be2f-60112add0dd8,ZR03030043,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),30,LEXINGTON PARK,99,Unknown,01,Talking/listening,99,Unknown,M,04,Police,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,17148618-d06c-45e3-894b-eacc78782fb6,101,N,20653
Unknown Type Of Non-Motorist,ace1efa8-f33c-4c85-b87a-746aa9258d65,ADK922000P,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),52,BALTIMORE,99,Unknown,03,"Other Action (looking away from task, etc.)",99,Unknown,M,02,EMS,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,4ff3f0d2-fdeb-472f-8798-a95af37d644c,09,N,21218
Pedestrian,47baf638-6a3d-4c28-827f-d2780eef4a15,DA4405000C,100,Cross/Enter at Intersection,16,HYATTSVILLE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,d71ca72d-bd47-4159-b03b-9b7c17a48f2d,06,N,20785
Pedestrian,27f44d8d-a31f-4d74-a1d3-a1582f2ef634,MCP3394000B,100,Cross/Enter at Intersection,72,CHEVY CHASE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,623dbeff-c5cb-4403-ba8f-f3d1dfaadfaf,06,N,20815
Pedestrian,02007804-6a6c-41b3-a49d-d2f1f95e6618,DE1157001Y,100,Cross/Enter at Intersection,50,SALISBURY,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,84937a16-ad28-492b-b855-eded05509d9c,06,N,00000
Scooter (electric),e3ccd4d0-17bd-47f9-90b2-cfbcfdfa813c,ADK526001W,100,Cross/Enter at Intersection,17,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,MD,73bc06db-2188-4537-bdc9-0d0ea601e3e4,102,N,21229
Pedestrian,febfc173-b900-4490-9513-2eda45128a18,MCP3330001W,101,Cross/Enter Not at Intersection,19,SILVER SPRING,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,8ca525cc-8234-4520-a36d-55e99990f020,06,N,20906
Pedestrian,2ec3c570-9bb4-4fd6-9d88-1c14e5da162d,DA392000BN,98,Other,28,UPPER MARLBORO,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,3cf744a3-3109-48a0-a2d7-e4db5818232a,06,N,20772
Pedestrian,83b1a628-cb28-4cef-af31-28d746eb356b,MCP2351005C,104,Push/Work on Vehicle,25,ROCKVILLE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,48f1bcfa-a336-4eb2-b576-2826b576b2dd,06,N,20852
Pedestrian,2195cab8-e655-4eb4-af33-ef66f5bf0351,ADK370001B,99,Unknown,38,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,3e486e9b-84bb-458f-a22a-b2cf9cfb5bbb,06,N,21213
Pedestrian,e10892ce-92e7-464d-8798-51bf4fc9a3ba,MCP2351005N,99,Unknown,55,ROCKVILLE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,1b5276a3-8684-4663-af1a-f937fbb45291,06,N,20851
Pedestrian,276aef9e-f67c-48de-afa9-377d9ac966bb,AE5445007V,99,Unknown,55,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,28e2a886-9ecc-4c33-a838-440290d443a2,06,N,21206
Pedestrian,21b440d4-929d-42c5-8280-11a1ac83973a,EE0125000S,99,Unknown,23,PRINCESS ANNE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,b6425699-b581-4284-bb10-951a1a3ab020,06,N,21853
Pedestrian,394a8f97-be8a-432c-891b-b689941850c5,ADK434003D,99,Unknown,30,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,320a9474-9f1b-4acf-b920-426341f9fac7,06,N,21218
Pedestrian,d3d4fbd2-7ffd-481f-80c0-8771f51afaf5,ADK205002D,99,Unknown,37,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,99,Unknown,99,Unknown,MD,d3eea249-261e-4a12-921d-49610fb90439,06,N,21226
Occupant Of a Non-Motor Vehicle Transportation Device,ce08e7bb-6245-4705-b6d9-7dda1507fdcb,ADK962000H,99,Unknown,50,UNKNOWN,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,6d020b10-ba69-4fa0-900e-dd46e659e282,08,N,21215
Cyclist (Electric),66d45018-53fa-4811-ac50-dce42c771a87,ADK990000B,99,Unknown,41,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,99,Unknown,MD,e8828d89-6fef-4aa5-9bb5-a2443f03284d,100,N,21201
Cyclist (non-electric),8c70019a-03af-4c3e-b605-72d69748d45e,DA423700BH,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),45,WASHNGTON,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,99,Unknown,DC,e549cf0f-a3b2-4d87-9d9c-e8eb6c294e84,101,N,20011
Cyclist (non-electric),f8b4f79a-a709-4ebe-8f91-999927e0bffd,MSP6883005M,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),0,SALISBURY,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,07,Travel Lane – Other Location,99,Unknown,MD,f0a330c9-47b3-4afe-aaf8-9bd3b29e6ecb,101,N,21801
Cyclist (non-electric),3c87975a-1455-40c7-bcdb-a702c426a708,ADK471002N,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),56,BALTIMORE,99,Unknown,99,Unknown,99,Unknown,M,01,No,03,Suspected Minor Injury,13,Off-Street Trails/Sidepaths,99,Unknown,MH,1932eedf-2e2a-4b3c-aa62-299385ea1176,101,N,21215
